journal	abbreviation	impact_factor
Quantitative Science Studies	QUANT SCI STUD	5.6
Quantum	QUANTUM-AUSTRIA	5.3
Quantum Beam Science	QUANTUM BEAM SCI	1.3
QUANTUM INFORMATION & COMPUTATION	QUANTUM INF COMPUT	1.6
Quantum Information Processing	QUANTUM INF PROCESS	2.2
Quantum Machine Intelligence	QUANT MACH INTELL	4.6
Quantum Reports	QUANTUM REP	1.8
Quantum Science and Technology	QUANTUM SCI TECHNOL	4.9
Quantum Studies-Mathematics and Foundations	QUANTUM STUD-MATH FD	0.9
Quantum Topology	QUANTUM TOPOL	2.2
QUARTERLY JOURNAL OF ECONOMICS	Q J ECON	13.1
Quarterly Journal of Engineering Geology and Hydrogeology	Q J ENG GEOL HYDROGE	1.2
QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY	Q J EXP PSYCHOL	1.8
Quarterly Journal of Finance	Q J FINANC	0.7
QUARTERLY JOURNAL OF MATHEMATICS	Q J MATH	0.8
QUARTERLY JOURNAL OF MECHANICS AND APPLIED MATHEMATICS	Q J MECH APPL MATH	0.8
QUARTERLY JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING	Q J NUCL MED MOL IM	1.4
Quarterly Journal of Political Science	Q J POLIT SCI	1.7
QUARTERLY JOURNAL OF SPEECH	Q J SPEECH	1.3
QUARTERLY JOURNAL OF THE ROYAL METEOROLOGICAL SOCIETY	Q J ROY METEOR SOC	3.3
QUARTERLY OF APPLIED MATHEMATICS	Q APPL MATH	0.7
QUARTERLY REVIEW OF BIOLOGY	Q REV BIOL	3
QUARTERLY REVIEW OF ECONOMICS AND FINANCE	Q REV ECON FINANC	3.4
QUARTERLY REVIEWS OF BIOPHYSICS	Q REV BIOPHYS	6.1
QUATERNAIRE	QUATERNAIRE	0.5
Quaternary	QUATERNARY	2
Quaternary Geochronology	QUAT GEOCHRONOL	2.1
QUATERNARY INTERNATIONAL	QUATERN INT	2.2
QUATERNARY RESEARCH	QUATERNARY RES	2.3
Quaternary Science Advances	QUAT SCI ADV	3.4
Quaternary Science Reviews	QUATERNARY SCI REV	3.3
Queen Mary Journal of Intellectual Property	QUEEN MARY J INTELLE	0.3
QUEENS LAW JOURNAL	QUEENS LAW J	0.5
QUEST	QUEST	2.2
Quest-Issues in Contemporary Jewish History	QUEST-ISS CONTEMP JE	0.2
Question	QUESTION	0.1
Quetes Litteraires	QUETES LITTERAIRES	0.1
QUEUEING SYSTEMS	QUEUEING SYST	0.8
QUIMICA NOVA	QUIM NOVA	0.9
QUINTESSENCE INTERNATIONAL	QUINTESSENCE INT	1.4
Quiroga-Revista de Patrimonio Iberoamericano	QUIROGA	0.1
Qwerty	QWERTY	0.3
R & D MANAGEMENT	R&D MANAGE	5
R Journal	R J	1.1
Ra-Revista de Arquitectura	RA-REV ARQUIT	0.3
Rabels Zeitschrift fur Auslandisches und Internationales Privatrecht	RABELS Z AUSL INT PR	0.1
RACAR-REVUE D ART CANADIENNE-CANADIAN ART REVIEW	RACAR	0.1
RACE & CLASS	RACE CLASS	2.9
Race and Justice	RACE JUSTICE	1.5
Race and Social Problems	RACE SOC PROBL	2
Race Ethnicity and Education	RACE ETHNIC EDUC-UK	2.3
Rad Hrvatske Akademije Znanosti i Umjetnosti-Matematicke Znanosti	RAD HRVAT AKAD ZNAN	0.4
RADIATION AND ENVIRONMENTAL BIOPHYSICS	RADIAT ENVIRON BIOPH	2.4
Radiation Detection Technology and Methods	RADIAT DETECT TECHNO	2
Radiation Effects and Defects in Solids	RADIAT EFF DEFECT S	1.6
RADIATION MEASUREMENTS	RADIAT MEAS	1.8
Radiation Oncology	RADIAT ONCOL	3.6
Radiation Oncology Journal	RADIAT ONCOL J	2.4
RADIATION PHYSICS AND CHEMISTRY	RADIAT PHYS CHEM	3.5
RADIATION PROTECTION DOSIMETRY	RADIAT PROT DOSIM	0.8
RADIATION RESEARCH	RADIAT RES	2.4
RADICAL HISTORY REVIEW	RADICAL HIST REV	0.9
RADICAL PHILOSOPHY	RADICAL PHILOS	2
Radical Teacher	RADIC TEACH	0.7
Radio Electronics Computer Science Control	RADIO ELECTRON COMPU	0.3
RADIO SCIENCE	RADIO SCI	1.6
RADIOCARBON	RADIOCARBON	1.3
RADIOCHEMISTRY	RADIOCHEMISTRY+	0.9
RADIOCHIMICA ACTA	RADIOCHIM ACTA	1.6
Radioengineering	RADIOENGINEERING	1
RADIOGRAPHICS	RADIOGRAPHICS	6.2
Radiography	RADIOGRAPHY	2.7
RADIOLOGIA	RADIOLOGIA-MADRID	1.5
Radiologia Medica	RADIOL MED	5.3
RADIOLOGIC CLINICS OF NORTH AMERICA	RADIOL CLIN N AM	2.1
Radiologic Technology	RADIOL TECHNOL	0.6
Radiological Physics and Technology	RADIOL PHYS TECHNOL	1.6
Radiologie	RADIOLOGIE	0.7
RADIOLOGY	RADIOLOGY	17.6
Radiology Advances	RADIOL ADV	1.8
Radiology and Oncology	RADIOL ONCOL	2.3
Radiology Research and Practice	RADIOL RES PRACT	1.4
Radiology-Artificial Intelligence	RADIOL-ARTIF INTELL	20.1
Radiology-Cardiothoracic Imaging	RADIOL-CARDIOTHORAC	4.5
Radiology-Imaging Cancer	RADIOL-IMAG CANCER	7.2
Radiophysics and Quantum Electronics	RADIOPHYS QUANT EL+	0.8
RADIOPROTECTION	RADIOPROTECTION	1.8
RADIOTHERAPY AND ONCOLOGY	RADIOTHER ONCOL	5.8
Radovi Zavoda za povijesne znanosti HAZU u Zadru	RAD ZAVODA POVIJ ZNA	0.3
RAE-Revista de Administracao de Empresas	RAE-REV ADMIN EMPRES	0.6
RAEL-Revista Electronica de Linguistica Aplicada	RAEL-REV ELECTR LING	0.3
RAFFLES BULLETIN OF ZOOLOGY	RAFFLES B ZOOL	1
Railway Engineering Science	RAILWAY ENG SCI	5.2
RAIRO-OPERATIONS RESEARCH	RAIRO-OPER RES	1.5
RAIRO-THEORETICAL INFORMATICS AND APPLICATIONS	RAIRO-THEOR INF APPL	0.6
Rajagiri Management Journal	RAJAGIRI MANAGE J	2.9
RAMANUJAN JOURNAL	RAMANUJAN J	0.8
Rambam Maimonides Medical Journal	RAMBAM MAIMONIDES ME	2
RAND JOURNAL OF ECONOMICS	RAND J ECON	2.6
Random Matrices-Theory and Applications	RANDOM MATRICES-THEO	0.9
Random Operators and Stochastic Equations	RANDOM OPERATORS STO	0.5
RANDOM STRUCTURES & ALGORITHMS	RANDOM STRUCT ALGOR	1.1
Range Management and Agroforestry	RANGE MANAG AGROFOR	0.7
Rangeland Ecology & Management	RANGELAND ECOL MANAG	2.9
RAPID COMMUNICATIONS IN MASS SPECTROMETRY	RAPID COMMUN MASS SP	1.8
RAPID PROTOTYPING JOURNAL	RAPID PROTOTYPING J	3.3
Rare Disease and Orphan Drugs Journal	RARE DIS ORPH DRUG J	1.9
RARE METAL MATERIALS AND ENGINEERING	RARE METAL MAT ENG	1.2
RARE METALS	RARE METALS	12.1
Rare Tumors	RARE TUMORS	1.2
RARITAN-A QUARTERLY REVIEW	RARITAN	0.1
RAS Techniques and Instruments	RAS TECH INSTRUM	2.5
RASP-Research on Ageing and Social Policy	RASP-RES AGEING SOC	1
Rasprave	RASPRAVE	0.1
RASSEGNA STORICA DEL RISORGIMENTO	RASS STOR RISORGIMEN	0.1
Ratio	RATIO	0.7
Ratio Juris	RATIO JURIS	0.2
Rational Pharmacotherapy in Cardiology	RATION PHARMACOTHER	0.2
RATIONALITY AND SOCIETY	RATION SOC	1.4
Raumforschung und Raumordnung-Spatial Research and Planning	RAUMFORSCH RAUMORDN	1.2
RAUSP Management Journal	RAUSP MANAG J	2
Rawal Medical Journal	RAWAL MED J	0.1
RBGN-Revista Brasileira de Gestao de Negocios	RBGN-REV BRAS GEST N	1.1
RBNE-Revista Brasileira de Nutricao Esportiva	RBNE	0.3
RBONE-Revista Brasileira de Obesidade Nutricao e Emagrecimento	RBONE-REV BRAS OBES	0.1
RBRH-Revista Brasileira de Recursos Hidricos	RBRH-REV BRAS RECUR	0.9
RDBCI-Revista Digital de Biblioteconomia e Ciencia da Informacao	RDBCI-REV DIG BIB CI	0.5
Reaction Chemistry & Engineering	REACT CHEM ENG	2.9
Reaction Kinetics Mechanisms and Catalysis	REACT KINET MECH CAT	2.1
Reactions	REACTIONS-BASEL	4
REACTIVE & FUNCTIONAL POLYMERS	REACT FUNCT POLYM	5.4
Reading & Writing Quarterly	READ WRIT Q	1.5
Reading & Writing-Journal of the Reading Association of South Africa	READ WRIT-J READ ASS	1.4
READING AND WRITING	READ WRIT	2.3
Reading in a Foreign Language	READ FOREIGN LANG	1.3
Reading Psychology	READ PSYCHOL	1.5
READING RESEARCH QUARTERLY	READ RES QUART	3.8
READING TEACHER	READ TEACH	1.7
Real Analysis Exchange	REAL ANAL EXCH	0.6
REAL ESTATE ECONOMICS	REAL ESTATE ECON	2.5
Real Estate Management and Valuation	REAL ESTATE MANAGE V	1.1
REAL-TIME SYSTEMS	REAL-TIME SYST	2.1
REC-Interventional Cardiology	REC-INTERV CARDIOL	1.5
ReCALL	RECALL	7.7
Recent Advances in Electrical & Electronic Engineering	RECENT ADV ELECTR EL	0.9
Recent Advances in Inflammation & Allergy Drug Discovery	RECENT ADV INFLAMM A	1.5
Recent Contributions to Physics	RECENT CONTRIB PHYS	0.3
Recent Patents on Anti-Cancer Drug Discovery	RECENT PAT ANTI-CANC	2.4
Recent Patents on Nanotechnology	RECENT PAT NANOTECH	2.9
Reception-Texts Readers Audiences History	RECEPTION	0.3
Recerca-Revista de Pensament & Analisi	RECERCA	0.8
Recherche en Soins Infirmiers	RECH SOINS INFIRM	0.1
Recherche et Applications en Marketing-English Edition	RECH APPL MARKET-ENG	1.1
Recherche et Pratiques Pedagogiques en Langues de Specialite-Cahiers de l Apliut	RECH PRAT PEDAGOG LA	0.1
Recherches de Theologie et Philosophie Medievales	RECH THEOL PHILOS ME	0.1
Recherches Sociographiques	RECH SOCIOGRAPHIQUES	0.3
Recht & Psychiatrie	RECHT PSYCHIATR	0.5
Rechtsmedizin	RECHTSMEDIZIN	0.9
Records Management Journal	REC MANAG J	1.4
Records of Natural Products	REC NAT PROD	1.4
RECORDS OF THE AUSTRALIAN MUSEUM	REC AUST MUS	0.8
Recreational Sports Journal	RECREAT SPORTS J	1.3
Recycling	RECYCLING-BASEL	5.2
RED-Revista de Educacion a Distancia	RED-REV EDUC DISTANC	1.5
Redes	REDES REV HISP ANAL	0.5
Redescriptions-Political Thought Conceptual History and Feminist Theory	REDESCRIPTIONS	0.4
REDHECS-Revista Electronica de Humanidades Educacion y Comunicacion Social	REDHECS-REV ELECTRON	0.3
Redia-Journal of Zoology	REDIA	0.6
REDIMAT-Revista de Investigacion en Didactica de las Matematicas	REDIMAT	0.6
Redox Biology	REDOX BIOL	16.2
Redox Experimental Medicine	REDOX EXP MED	2.4
REDOX REPORT	REDOX REP	6.9
REDU-Revista de Docencia Universitaria	REDU	0.9
REFERENCE SERVICES REVIEW	REF SERV REV	1.3
Reflective Practice	REFLECT PRACT	1.8
Reformation	REFORMATION	0.6
REFORMATION & RENAISSANCE REVIEW	REFORM RENAISS REV	0.4
REFRACTORIES AND INDUSTRIAL CERAMICS	REFRACT IND CERAM+	0.3
Refuge	REFUGE	1
Refugee Survey Quarterly	REFUG SURV Q	2.1
REGE-Revista de Gestao	REGE-REV GEST	1.3
Regenerative Biomaterials	REGEN BIOMATER	8.7
Regenerative Engineering and Translational Medicine	REGEN ENG TRANSL MED	3.1
Regenerative Medicine	REGEN MED	3
Regenerative Therapy	REGEN THER	4
Region	REGION	1.2
Region et Developpement	REG DEV	0.2
Regional and Federal Studies	REG FED STUD	1.8
REGIONAL ANESTHESIA AND PAIN MEDICINE	REGION ANESTH PAIN M	4
Regional Environmental Change	REG ENVIRON CHANGE	4.2
REGIONAL SCIENCE AND URBAN ECONOMICS	REG SCI URBAN ECON	2.6
Regional Science Policy and Practice	REG SCI POLICY PRACT	3.8
Regional Statistics	REG STAT	1
REGIONAL STUDIES	REG STUD	5.9
Regional Studies in Marine Science	REG STUD MAR SCI	2.7
Regional Studies Regional Science	REG STUD REG SCI	2
Regional Sustainability	REG SUSTAIN	5.9
Regionologiya-Regionology Russian Journal of Regional Studies	REGIONOLOGIYA	0.5
REGISTER Journal	REGIST J	1.2
Register of the Kentucky Historical Society	REGIST KY HIST SOC	0.2
Register Studies	REGIST STUD	1.5
REGULAR & CHAOTIC DYNAMICS	REGUL CHAOTIC DYN	0.8
Regulation & Governance	REGUL GOV	5.2
Regulatory Mechanisms in Biosystems	REGUL MECH BIOSYST	0.8
REGULATORY TOXICOLOGY AND PHARMACOLOGY	REGUL TOXICOL PHARM	4.3
Rehabilitacion	REHABILITACION	0.6
REHABILITATION	REHABILITATION	2.4
REHABILITATION COUNSELING BULLETIN	REHABIL COUNS BULL	1.9
Rehabilitation Nursing	REHABIL NURS	1.1
Rehabilitation Oncology	REHABIL ONCOL	0.8
REHABILITATION PSYCHOLOGY	REHABIL PSYCHOL	2
Rehabilitation Research Policy and Education	REHABIL RES POL EDUC	0.5
REICE-Revista Electronica de Investigacion en Ciencias Economicas	REICE-REV ELECTRON I	0.2
REICE-Revista Iberoamericana sobre Calidad Eficacia y Cambio en Educacion	REICE-REV IBEROAM CA	1.5
ReiDoCrea-Revista Eectronica de Investigacion y Docencia Creativa	REIDOCREA	0.2
REJUVENATION RESEARCH	REJUV RES	1.8
Relaciones	RELACIONES-ARG	0.8
Relaciones Internacionales	RELAC INT-B AIRES	0.2
Relaciones Internacionales-Madrid	RELAC INT-MADR	0.1
RELATIONS INDUSTRIELLES-INDUSTRIAL RELATIONS	RELAT IND-IND RELAT	0.3
RELC Journal	RELC J	7.2
RELIABILITY ENGINEERING & SYSTEM SAFETY	RELIAB ENG SYST SAFE	13.7
RELIEVE-Revista Electronica de Investigacion y Evaluacion Educativa	RELIEVE	2.3
RELIGION	RELIGION	1.1
Religion & Education	RELIGION EDUC	0.7
Religion & Human Rights	RELIG HUM RIGHTS	0.3
RELIGION & LITERATURE	RELIG LIT	0.2
Religion and Society-Advances in Research	RELIG SOC-ADV RES	0.2
Religion and the Arts	RELIG ARTS	0.1
Religion and Theology-A Journal of Contemporary Religious Discourse	RELIG THEOL	0.2
Religion Brain & Behavior	RELIG BRAIN BEHAV	4.7
Religion Compass	RELIG COMPASS	0.8
Religion State & Society	RELIG STATE SOC	1.2
Religioni e Societa-Rivista di Scienze Sociali della Religione	RELIG SOC-ITALY	0.1
Religions	RELIGIONS	0.6
Religions of South Asia	RELIG SOUTH ASIA	0.4
RELIGIOUS EDUCATION	RELIGIOUS EDUC	0.5
Religious Inquiries	RELIG INQ	0.2
RELIGIOUS STUDIES	RELIG STUD	0.5
Religious Studies and Theology	RELIG STUD THEOL	0.1
Religious Studies Review	RELIG STUD REV	0.1
REMEA-Revista Eletronica do Mestrado em Educacao Ambiental	REMEA-REV ELETRONICA	0.1
REMEDIAL AND SPECIAL EDUCATION	REM SPEC EDUC	1.8
Remediation-The Journal of Environmental Cleanup Costs Technologies & Techniques	REMEDIATION	2.5
REMIE-Multidisciplinary Journal of Educational Research	REMIE-MULTIDISCIP J	0.8
Remote Sensing	REMOTE SENS-BASEL	4.3
Remote Sensing Applications-Society and Environment	REMOTE SENS APPL	4.9
Remote Sensing in Ecology and Conservation	REMOTE SENS ECOL CON	5.2
Remote Sensing Letters	REMOTE SENS LETT	1.5
REMOTE SENSING OF ENVIRONMENT	REMOTE SENS ENVIRON	12.3
RENAISSANCE AND REFORMATION	RENAISSANCE REFORM	0.3
RENAISSANCE QUARTERLY	RENAISSANCE QUART	1
Renaissance Studies	RENAISS STUD	0.2
RENAL FAILURE	RENAL FAILURE	3.8
Renal Replacement Therapy	RENAL REPLACE THER	1.4
RENASCENCE-ESSAYS ON VALUES IN LITERATURE	RENASCENCE	0.2
Rendiconti del Circolo Matematico di Palermo	REND CIRC MAT PALERM	0.9
RENDICONTI DEL SEMINARIO MATEMATICO DELLA UNIVERSITA DI PADOVA	REND SEMIN MAT U PAD	0.4
Rendiconti Lincei-Matematica e Applicazioni	REND LINCEI-MAT APPL	0.7
RENDICONTI LINCEI-SCIENZE FISICHE E NATURALI	REND LINCEI-SCI FIS	2.7
Rendiconti Online della Societa Geologica Italiana	REND ONLINE SOC GEOL	0.6
RENEWABLE & SUSTAINABLE ENERGY REVIEWS	RENEW SUST ENERG REV	18
RENEWABLE AGRICULTURE AND FOOD SYSTEMS	RENEW AGR FOOD SYST	2.4
Renewable and Sustainable Energy Transition	RENEW SUST ENERGY TR	6
Renewable Energy	RENEW ENERG	9.1
Renewable Energy Focus	RENEW ENERG FOCUS	10.8
Renewable Energy Research and Applications	RENEW ENERG RES APPL	1.4
Reports of Biochemistry and Molecular Biology	REP BIOCHEM MOL BIOL	1.5
Reports of Forestry Research-Zpravy Lesnickeho Vyzkumu	REP FOR RES	0.6
Reports of Practical Oncology and Radiotherapy	REP PRACT ONCOL RADI	1.7
Reports on Geodesy and Geoinformatics	REP GEOD GEOINFORMAT	1.1
REPORTS ON MATHEMATICAL PHYSICS	REP MATH PHYS	1
REPORTS ON PROGRESS IN PHYSICS	REP PROG PHYS	15.4
Reports-Clinical Practice and Surgical Cases	REPORTS-BASEL	0.5
Representation	REPRESENTATION-UK	1.8
Representation Theory	REPRESENT THEOR	0.9
REPRESENTATIONS	REPRESENTATIONS	0.8
REPRODUCTION	REPRODUCTION	3.4
Reproduction and Fertility	REPROD FERTIL	3.8
REPRODUCTION FERTILITY AND DEVELOPMENT	REPROD FERT DEVELOP	2.3
REPRODUCTION IN DOMESTIC ANIMALS	REPROD DOMEST ANIM	1.7
Reproductive and Developmental Medicine	REPROD DEV MED	1.2
Reproductive Biology	REPROD BIOL	2.5
Reproductive Biology and Endocrinology	REPROD BIOL ENDOCRIN	5.7
REPRODUCTIVE BIOMEDICINE ONLINE	REPROD BIOMED ONLINE	3.9
Reproductive Health	REPROD HEALTH	3.4
Reproductive Medicine	REPROD MED-BASEL	0.9
Reproductive Medicine and Biology	REPROD MED BIOL	4.3
Reproductive Sciences	REPROD SCI	2.8
REPRODUCTIVE TOXICOLOGY	REPROD TOXICOL	3.4
REQUIREMENTS ENGINEERING	REQUIR ENG	3.3
ReS Futurae-Revue d Etudes sur la Science-Fiction	RES FUTURAE	0.1
Res Mobilis-International Research Journal of Furniture and Decorative Objects	RES MOBILIS	0.2
Res Publica-A Journal of Moral Legal and Political Philosophy	RES PUBLICA-NETH	1.2
Res Publica-Revista de Filosofia Politica	RES PUBLICA-REV FILO	0.1
Res Rhetorica	RES RHETOR	0.2
Research	RESEARCH-CHINA	12.9
Research & Politics	RES POLITICS	4.7
RESEARCH AND PRACTICE FOR PERSONS WITH SEVERE DISABILITIES	RES PRACT PERS SEV D	1.9
Research and Practice in Intellectual and Developmental Disabilities	RES PRACT INTELLECT	1.7
Research and Practice in Technology Enhanced Learning	RES PRACT TECH ENHAN	2.9
Research and Practice in Thrombosis and Haemostasis	RES PRACT THROMB HAE	3.5
Research and Reports in Tropical Medicine	RES REP TROP MED	2.7
Research and Reports in Urology	RES REP UROL	2.4
Research and Theory for Nursing Practice	RES THEOR NURS PRACT	1.1
Research Ethics	RES ETHICS-UK	2.9
RESEARCH EVALUATION	RES EVALUAT	2.7
RESEARCH IN AFRICAN LITERATURES	RES AFR LITERATURES	0.2
Research in Astronomy and Astrophysics	RES ASTRON ASTROPHYS	2.6
Research in Autism Spectrum Disorders	RES AUTISM SPECT DIS	2.4
Research in Cardiovascular Medicine	RES CARDIOVASC MED	0.1
Research in Cold and Arid Regions	RES COLD ARID REG	3.5
Research in Comparative and International Education	RES COMP INT EDUC	1.8
Research in Dance Education	RES DANC EDUC	1
Research in Developmental Disabilities	RES DEV DISABIL	2.9
Research in Economics	RES ECON	1.1
Research in Education	RES EDUC	2.6
Research in Education and Learning Innovation Archives-REALIA	RES EDUC LEARN INNOV	1
Research in Educational Administration & Leadership	RES EDUC ADMIN LEAD	1
RESEARCH IN ENGINEERING DESIGN	RES ENG DES	3.5
Research in Gerontological Nursing	RES GERONTOL NURS	2
Research in Globalization	RES GLOB	5.3
RESEARCH IN HIGHER EDUCATION	RES HIGH EDUC	2.2
Research in Human Development	RES HUM DEV	1.3
Research in International Business and Finance	RES INT BUS FINANC	7.6
Research in Learning Technology	RES LEARN TECHNOL	2.1
Research in Marine Sciences	RES MAR SCI	0.3
Research in Mathematics	RES MATH	1.8
Research in Mathematics Education	RES MATH EDUCAT	1.1
RESEARCH IN MICROBIOLOGY	RES MICROBIOL	4.4
RESEARCH IN NONDESTRUCTIVE EVALUATION	RES NONDESTRUCT EVAL	1.3
Research in Number Theory	RES NUMBER THEORY	0.8
RESEARCH IN NURSING & HEALTH	RES NURS HEALTH	2.8
Research in Organizational Behavior	RES ORGAN BEHAV	3.3
Research in Pharmaceutical Sciences	RES PHARM SCI	2.3
RESEARCH IN PHENOMENOLOGY	RES PHENOMENOL	0.2
Research in Post-Compulsory Education	RES POST-COMPULS EDU	1.1
Research in Psychotherapy-Psychopathology Process and Outcome	RES PSYCHOTHER-PSYCH	3.5
Research in Science & Technological Education	RES SCI TECHNOL EDUC	2
RESEARCH IN SCIENCE EDUCATION	RES SCI EDUC	3.1
Research in Social & Administrative Pharmacy	RES SOC ADMIN PHARM	3.4
Research in Social Stratification and Mobility	RES SOC STRAT MOBIL	2.4
Research in Sport Education and Sciences	RES SPORT EDUC SCI	0.2
Research in Sports Medicine	RES SPORTS MED	2.4
Research in the Mathematical Sciences	RES MATH SCI	1.2
RESEARCH IN THE TEACHING OF ENGLISH	RES TEACH ENGL	1.6
Research in Transportation Business and Management	RES TRANSP BUS MANAG	4.8
Research in Transportation Economics	RES TRANSP ECON	4.2
RESEARCH IN VETERINARY SCIENCE	RES VET SCI	2.1
Research Integrity and Peer Review	RES INTEGR PEER REV	9.6
Research Involvement and Engagement	RES INVOLVE ENGAGEM	4.1
Research Journal of Biotechnology	RES J BIOTECHNOL	0.4
Research Journal of Pharmacognosy	RES J PHARMACOGN	1
Research Journal of Textile and Apparel	RES J TEXT APPAR	1.9
Research Methods in Applied Linguistics	RES METH APPL LIN-UK	5.5
RESEARCH ON AGING	RES AGING	2.2
RESEARCH ON CHEMICAL INTERMEDIATES	RES CHEM INTERMEDIAT	3.3
Research on Child and Adolescent Psychopathology	RES CHILD ADOLES PSY	2.7
RESEARCH ON LANGUAGE AND SOCIAL INTERACTION	RES LANG SOC INTERAC	2.8
RESEARCH ON SOCIAL WORK PRACTICE	RES SOCIAL WORK PRAC	2.1
Research on World Agricultural Economy	RES WORLD AGR ECON	1.5
Research Papers in Education	RES PAP EDUC	2.1
RESEARCH POLICY	RES POLICY	8.9
RESEARCH QUARTERLY FOR EXERCISE AND SPORT	RES Q EXERCISE SPORT	2.1
Research Reports in Clinical Cardiology	RES REP CLIN CARDIOL	0.8
Research Studies in Music Education	RES STUD MUSIC EDUC	1.9
Research Synthesis Methods	RES SYNTH METHODS	8
RESEARCH-TECHNOLOGY MANAGEMENT	RES TECHNOL MANAGE	3.1
Residential Treatment for Children & Youth	RESID TREAT CHILD YO	1.1
Resilient Cities and Structures	RESIL CITIES STRUCT	4.7
Resonance-Journal of Science Education	RESONANCE	0.4
Resonancias	RESONANCIAS	0.5
RESOURCE AND ENERGY ECONOMICS	RESOUR ENERGY ECON	3.1
RESOURCE GEOLOGY	RESOUR GEOL	0.6
Resources Chemicals and Materials	RESOUR CHEM MATER	10.4
Resources Conservation & Recycling Advances	RESOUR CONS RECY ADV	8.3
RESOURCES CONSERVATION AND RECYCLING	RESOUR CONSERV RECY	10.4
Resources Environment and Sustainability	RESOUR ENVIRON SUST	9.2
Resources-Basel	RESOURCES-BASEL	4.3
RESPIRATION	RESPIRATION	2.6
Respiratory Care	RESP CARE	2.3
Respiratory Investigation	RESPIR INVESTIG	2.1
RESPIRATORY MEDICINE	RESP MED	3.3
Respiratory Medicine and Research	RESPIR MED RES-FRANC	2.1
Respiratory Medicine Case Reports	RESPIR MED CASE REP	0.7
RESPIRATORY PHYSIOLOGY & NEUROBIOLOGY	RESP PHYSIOL NEUROBI	1.9
RESPIRATORY RESEARCH	RESP RES	5.7
RESPIROLOGY	RESPIROLOGY	7.2
Respirology Case Reports	RESPIROL CASE REP	0.7
Responsive Materials	RESPONSIVE MATER	22.9
RESTAURATOR-INTERNATIONAL JOURNAL FOR THE PRESERVATION OF LIBRARY AND ARCHIVAL MATERIAL	RESTAURATOR	0.9
RESTORATION ECOLOGY	RESTOR ECOL	2.7
Restorative Dentistry and Endodontics	RESTOR DENT ENDOD	2.9
RESTORATIVE NEUROLOGY AND NEUROSCIENCE	RESTOR NEUROL NEUROS	1.8
Results in Applied Mathematics	RESULTS APPL MATH	1.5
Results in Chemistry	RESULTS CHEM	5.8
Results in Control and Optimization	RESULTS CONTROL OPTI	3.8
Results in Engineering	RESULTS ENG	9.4
Results in Mathematics	RESULTS MATH	1.1
Results in Optics	RESULTS OPT	3.3
Results in Surfaces and Interfaces	RESULTS SURF INTERF	6.2
RESUSCITATION	RESUSCITATION	6
Resuscitation Plus	RESUSC PLUS	3.1
Retail and Marketing Review	RETAIL MARK REV	0.5
RETHINKING HISTORY	RETHINK HIST	0.8
Rethinking Marxism-A Journal of Economics Culture & Society	RETHINK MARXISM	0.3
Reti Medievali Rivista	RETI MEDIEV RIV	0.3
Reti Saperi Linguaggi-Italian Journal of Cognitive Sciences	RETI SAPERI LINGUAGG	0.2
RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	RETINA-J RET VIT DIS	2.1
Retos-Revista de Ciencias de la Administracion y Economia	RETOS-REV CIENC ADM	1.3
Retrovirology	RETROVIROLOGY	4.1
Reumatismo	REUMATISMO	1.2
Reumatologia	REUMATOLOGIA	2.5
Reumatologia Clinica	REUMATOL CLIN	1.5
REUNIR-Revista de Administracao Contabilidade e Sustentabilidade	REUNIR-REV ADM CONTA	0.1
Rev Rene	REV RENE	0.3
REVER-Revista de Estudos da Religiao	REVER	0.1
REVESCO-Revista de Estudios Cooperativos	REVESCO-REV ESTUD CO	0.9
Review & Expositor	REV EXPO	0.1
Review Journal of Autism and Developmental Disorders	REV J AUTISM DEV DIS	3.5
Review of Accounting and Finance	REV ACCOUNT FINANC	4.6
REVIEW OF ACCOUNTING STUDIES	REV ACCOUNT STUD	5.7
Review of African Political Economy	REV AFR POLIT ECON	2.4
Review of Agrarian Studies	REV AGRAR STUD	0.4
Review of Asset Pricing Studies	REV ASSET PRICING ST	1.3
Review of Austrian Economics	REV AUSTRIAN ECON	1
Review of Behavioral Economics	REV BEHAV ECON	0.6
Review of Behavioral Finance	REV BEHAV FINANCE	1.7
Review of Central and East European Law	REV CENT E EUR LAW	0.4
Review of Cognitive Linguistics	REV COGN LINGUIST	0.6
Review of Communication Research	REV COMMUN RES	0.9
Review of Corporate Finance Studies	REV CORP FINANC STUD	2
Review of Derivatives Research	REV DERIV RES	1.2
Review of Development Economics	REV DEV ECON	2.4
Review of Development Finance	REV DEV FINANC	0.6
Review of Economic Analysis	REV ECON ANAL	0.4
Review of Economic Design	REV ECON DES	0.4
REVIEW OF ECONOMIC DYNAMICS	REV ECON DYNAM	2
Review of Economic Perspectives	REV ECON PERSPECT	0.4
REVIEW OF ECONOMIC STUDIES	REV ECON STUD	9.7
Review of Economics and Political Science	REV ECON POLIT SCI-R	2.2
REVIEW OF ECONOMICS AND STATISTICS	REV ECON STAT	7.7
Review of Economics of the Household	REV ECON HOUSEHOLD	1.5
Review of Education	REV EDUC-US	4
Review of Education Pedagogy and Cultural Studies	REV EDUC PEDAGOG CUL	1.1
REVIEW OF EDUCATIONAL RESEARCH	REV EDUC RES	8.6
